A = 0000, B = 0000, Cin = 0, Cout = 0, S = 0000
A = 0000, B = 0001, Cin = 0, Cout = 0, S = 0001
A = 0000, B = 1111, Cin = 0, Cout = 0, S = 1111
A = 0000, B = aaaa, Cin = 0, Cout = 0, S = aaaa
A = 0000, B = 5555, Cin = 0, Cout = 0, S = 5555
A = 0000, B = ffff, Cin = 0, Cout = 0, S = ffff
A = 0000, B = ff00, Cin = 0, Cout = 0, S = ff00
A = 0000, B = 00ff, Cin = 0, Cout = 0, S = 00ff
A = 0000, B = 7fff, Cin = 0, Cout = 0, S = 7fff
A = 0000, B = 8000, Cin = 0, Cout = 0, S = 8000
A = 0000, B = f9e8, Cin = 0, Cout = 0, S = f9e8
A = 0000, B = c91b, Cin = 0, Cout = 0, S = c91b
A = 0000, B = fa50, Cin = 0, Cout = 0, S = fa50
A = 0000, B = 92a3, Cin = 0, Cout = 0, S = 92a3
A = 0000, B = b84e, Cin = 0, Cout = 0, S = b84e
A = 0000, B = 7da2, Cin = 0, Cout = 0, S = 7da2
A = 0000, B = 05a5, Cin = 0, Cout = 0, S = 05a5
A = 0000, B = 6ea1, Cin = 0, Cout = 0, S = 6ea1
A = 0000, B = 6740, Cin = 0, Cout = 0, S = 6740
A = 0000, B = aa06, Cin = 0, Cout = 0, S = aa06
A = 0000, B = 7707, Cin = 0, Cout = 0, S = 7707
A = 0000, B = 661e, Cin = 0, Cout = 0, S = 661e
A = 0000, B = aa27, Cin = 0, Cout = 0, S = aa27
A = 0000, B = 9475, Cin = 0, Cout = 0, S = 9475
A = 0000, B = 3cb2, Cin = 0, Cout = 0, S = 3cb2
A = 0000, B = 5b5d, Cin = 0, Cout = 0, S = 5b5d
A = 0000, B = 2875, Cin = 0, Cout = 0, S = 2875
A = 0000, B = ab6b, Cin = 0, Cout = 0, S = ab6b
A = 0000, B = 1bcd, Cin = 0, Cout = 0, S = 1bcd
A = 0000, B = 8f61, Cin = 0, Cout = 0, S = 8f61
A = 0000, B = ef5c, Cin = 0, Cout = 0, S = ef5c
A = 0000, B = e08c, Cin = 0, Cout = 0, S = e08c
A = 0000, B = be66, Cin = 0, Cout = 0, S = be66
A = 0000, B = a2ce, Cin = 0, Cout = 0, S = a2ce
A = 0000, B = 71b2, Cin = 0, Cout = 0, S = 71b2
A = 0000, B = a50d, Cin = 0, Cout = 0, S = a50d
A = 0000, B = 6c3f, Cin = 0, Cout = 0, S = 6c3f
A = 0000, B = 5b04, Cin = 0, Cout = 0, S = 5b04
A = 0000, B = d88a, Cin = 0, Cout = 0, S = d88a
A = 0000, B = 1321, Cin = 0, Cout = 0, S = 1321
A = 0000, B = 5183, Cin = 0, Cout = 0, S = 5183
A = 0000, B = 90a4, Cin = 0, Cout = 0, S = 90a4
A = 0000, B = e310, Cin = 0, Cout = 0, S = e310
A = 0000, B = 3e8c, Cin = 0, Cout = 0, S = 3e8c
A = 0000, B = 5ce3, Cin = 0, Cout = 0, S = 5ce3
A = 0000, B = 1d12, Cin = 0, Cout = 0, S = 1d12
A = 0000, B = 869d, Cin = 0, Cout = 0, S = 869d
A = 0000, B = 4cad, Cin = 0, Cout = 0, S = 4cad
A = 0000, B = 7940, Cin = 0, Cout = 0, S = 7940
A = 0000, B = 0b63, Cin = 0, Cout = 0, S = 0b63
A = 0000, B = d71b, Cin = 0, Cout = 0, S = d71b
A = 0000, B = 654c, Cin = 0, Cout = 0, S = 654c
A = 0000, B = 8c4a, Cin = 0, Cout = 0, S = 8c4a
A = 0000, B = 60c5, Cin = 0, Cout = 0, S = 60c5
A = 0000, B = 0de9, Cin = 0, Cout = 0, S = 0de9
A = 0000, B = 3472, Cin = 0, Cout = 0, S = 3472
A = 0000, B = 6930, Cin = 0, Cout = 0, S = 6930
A = 0000, B = 84f7, Cin = 0, Cout = 0, S = 84f7
A = 0000, B = 363d, Cin = 0, Cout = 0, S = 363d
A = 0000, B = 62e7, Cin = 0, Cout = 0, S = 62e7
A = 0000, B = 0c50, Cin = 0, Cout = 0, S = 0c50
A = 0000, B = b32c, Cin = 0, Cout = 0, S = b32c
A = 0000, B = 22da, Cin = 0, Cout = 0, S = 22da
A = 0000, B = 27f2, Cin = 0, Cout = 0, S = 27f2
A = 0000, B = 95af, Cin = 0, Cout = 0, S = 95af
A = 0000, B = c86f, Cin = 0, Cout = 0, S = c86f
A = 0000, B = 24bd, Cin = 0, Cout = 0, S = 24bd
A = 0000, B = 3eed, Cin = 0, Cout = 0, S = 3eed
A = 0000, B = 68bd, Cin = 0, Cout = 0, S = 68bd
A = 0000, B = 85ce, Cin = 0, Cout = 0, S = 85ce
A = 0000, B = 9c7e, Cin = 0, Cout = 0, S = 9c7e
A = 0000, B = db66, Cin = 0, Cout = 0, S = db66
A = 0000, B = a641, Cin = 0, Cout = 0, S = a641
A = 0000, B = 75a8, Cin = 0, Cout = 0, S = 75a8
A = 0000, B = d548, Cin = 0, Cout = 0, S = d548
A = 0000, B = 31f9, Cin = 0, Cout = 0, S = 31f9
A = 0000, B = a33c, Cin = 0, Cout = 0, S = a33c
A = 0000, B = 0421, Cin = 0, Cout = 0, S = 0421
A = 0000, B = c0c2, Cin = 0, Cout = 0, S = c0c2
A = 0000, B = f89a, Cin = 0, Cout = 0, S = f89a
A = 0000, B = 173e, Cin = 0, Cout = 0, S = 173e
A = 0000, B = 4a0b, Cin = 0, Cout = 0, S = 4a0b
A = 0000, B = cdf5, Cin = 0, Cout = 0, S = cdf5
A = 0000, B = 415a, Cin = 0, Cout = 0, S = 415a
A = 0000, B = 9bbe, Cin = 0, Cout = 0, S = 9bbe
A = 0000, B = d3ad, Cin = 0, Cout = 0, S = d3ad
A = 0000, B = 7290, Cin = 0, Cout = 0, S = 7290
A = 0000, B = eea6, Cin = 0, Cout = 0, S = eea6
A = 0000, B = 433d, Cin = 0, Cout = 0, S = 433d
A = 0000, B = c25e, Cin = 0, Cout = 0, S = c25e
A = 0000, B = db5b, Cin = 0, Cout = 0, S = db5b
A = 0000, B = a379, Cin = 0, Cout = 0, S = a379
A = 0000, B = 9d09, Cin = 0, Cout = 0, S = 9d09
A = 0000, B = 746c, Cin = 0, Cout = 0, S = 746c
A = 0000, B = f884, Cin = 0, Cout = 0, S = f884
A = 0000, B = 860a, Cin = 0, Cout = 0, S = 860a
A = 0000, B = 9363, Cin = 0, Cout = 0, S = 9363
A = 0000, B = 8712, Cin = 0, Cout = 0, S = 8712
A = 0000, B = 62f7, Cin = 0, Cout = 0, S = 62f7
A = 0000, B = 3278, Cin = 0, Cout = 0, S = 3278
